Time,Series Name,United States [USA],United Kingdom [GBR],Vietnam [VNM],Switzerland [CHE],Spain [ESP],Qatar [QAT],Portugal [PRT],Peru [PER],Panama [PAN],Norway [NOR],New Zealand [NZL],Nicaragua [NIC],Netherlands [NLD],Mexico [MEX],Luxembourg [LUX],Japan [JPN],Italy [ITA],Israel [ISR],Jamaica [JAM],India [IND],Iceland [ISL],Greece [GRC],Finland [FIN],France [FRA],Germany [DEU],"Egypt, Arab Rep. [EGY]",Ethiopia [ETH],Ecuador [ECU],Cuba [CUB],Costa Rica [CRI],Chile [CHL],Canada [CAN],Colombia [COL],China [CHN],Brazil [BRA],Australia [AUS],Argentina [ARG],Afghanistan [AFG],Ireland [IRL],Poland [POL],Romania [ROU]
2014,Access to electricity (% of population),100.0,100.0,99.2,100.0,100.0,100.0,100.0,92.919989,91.4287567138672,100.0,100.0,81.853073,100.0,99.172928,100.0,100.0,100.0,100.0,93.3,83.5852127075195,100.0,100.0,100.0,100.0,100.0,99.8,27.2,98.976067,98.4085464477539,99.359291,100.0,100.0,97.790938,100.0,99.650247,100.0,100.0,89.5,100.0,100.0,100.0
2014,"Adolescent fertility rate (births per 1,000 women ages 15-19)",24.7062,16.4354,34.0082,3.207,8.4732,10.7296,10.2004,60.1436,84.8478,5.6798,21.4654,90.3624,4.184,63.728,5.7332,4.1994,5.6324,10.7686,57.5552,22.102,8.1236,8.0126,6.779,5.8796,8.0758,54.983,73.4776,81.3508,52.8886,57.2442,48.702,10.2512,70.6512,7.4802,62.0762,12.0672,63.253,88.061,9.4728,12.815,36.421
2014,Arable land (% of land area),17.064844513535,25.7657173562601,20.6711387751153,10.1083561089179,24.5456908098599,1.3141862489121,11.9875859117783,2.8125,7.62277388019428,2.21353681650361,2.24070487258365,12.4979225527672,31.0181062629861,9.83410067131356,25.7654320987654,11.5829903978052,22.8734616169171,13.8863216266174,11.0803324099723,52.6246220389548,1.20897755610973,17.2536850271528,7.34081411036888,33.4816283966783,34.018343364861,2.65225777286654,13.8112416732663,3.9056208729264,29.6863103249375,4.40658049353701,1.73388636938289,4.2419963437989,1.53826047769265,12.6958930783302,6.4482049834054,4.16025148718483,14.3238729998648,11.903011365377,6.7525039918711,35.6902576831379,38.1519471488178
2014,Armed forces personnel (% of total labor force),0.865525725902876,0.466013629046042,0.949136415867794,0.438553212950476,0.862745998001708,0.634727330820961,1.4901938186913,0.952572213263555,0.661704617264535,0.947557468625932,0.344377450650711,0.432304688344345,0.46730326978455,0.639567162716772,0.551670721994491,0.39258516925959,1.39558758108907,4.84693281100298,0.250207236863576,0.580947281519871,0.100651719886264,3.03658114232484,0.930222866515251,1.03871529856206,0.422032935960732,2.78753954144024,0.305522545837016,0.56493149287202,1.47802239429057,0.418235405078061,1.25601714839237,0.358882311651968,1.86200559104204,0.38119694475323,0.729955996211273,0.459473022092111,0.555809596519585,3.53247387908301,0.401336140628184,0.939173429494831,1.64264689149975
2014,"Energy imports, net (% of energy use)",9.21446550107214,39.6746318060831,0.0,47.0513611742434,69.3597896156312,-398.991186700817,71.6682863058296,-14.8995881431003,80.9045483773801,-582.899339376479,17.0845525907585,40.8593754052827,19.7692893509844,-10.7936009824051,96.0021367767681,93.9812595165796,75.0013037014096,67.0487382754257,82.0425186774483,34.3055237512019,10.9633522331564,61.9706702230486,46.1972755140458,43.4852718520015,60.8759102791018,-7.39149397580216,5.9263144174666,-114.712138196457,49.7782392380128,49.8341838008713,64.2016679867395,-67.9272217430383,-274.133160746085,15.0218007401139,11.870133377942,-192.015924390399,13.0293607429001,0.0,84.255803046358,28.3910110146742,16.77549802171
2014,Individuals using the Internet (% of population),73.0,91.61,41.0,87.4,76.19,91.49,64.59,40.2,44.92,96.3,85.5,17.6,91.666666,44.39,94.67,89.10683302,55.63846022,75.01775316,40.4027351,13.5,98.16,63.21,86.53039275,83.75,86.19,33.89460391,7.7,45.59039067,29.07018437,53.0,61.11,87.12,52.57,47.9,54.55100188,84.0,64.7,7.0,83.49172234,66.6,54.08
2014,Current health expenditure (% of GDP),16.40644836,9.95758438,5.78317738,10.99387455,9.09010506,2.43456411,9.02365017,4.99472809,6.92144489,9.34493351,9.4200058,7.97716141,10.56703758,5.63038635,5.43687868,10.83204937,8.86791897,7.15390539,5.16615725,3.61956549,8.27935791,7.84993553,9.78115082,11.58073521,11.01583958,5.02518845,4.03365517,8.62127495,12.1412344,7.88175106,7.80729866,10.25013065,7.18553209,4.77322769,8.39624977,9.03597069,9.67129993,9.52887821,9.67580032,6.35254002,5.03005028
2014,CO2 emissions from transport (% of total fuel combustion),33.3979881032647,28.452334248725,22.2803712232224,44.8330683624801,35.3075563601879,18.2450715114032,36.6970334034104,40.30131826742,36.4494806421152,39.7621070518267,44.9423815620999,41.6299559471366,19.8530403127949,35.092360530957,66.8108108108108,17.5369963739768,32.9548653467205,26.0936775390323,24.2677824267782,11.4786078913882,40.1960784313725,24.802671523983,23.8674033149171,42.4145897507701,21.3654651789788,22.5486235355226,46.8784227820372,41.6731216111542,4.27843803056027,68.6192468619247,31.077694235589,31.7934390771449,41.2,8.59869527322669,44.7523213310365,24.7445021135427,24.1671430798815,0.0,32.132309509746,15.668004587156,22.4471830985916
2014,"Communications, computer, etc. (% of service exports, BoP)",45.2329979304931,43.3217100631428,0.0,50.6597624512115,28.2081132632915,12.1476155658462,29.9534053137482,9.88546823777743,9.9854864656921,37.2427614750838,21.0368779965585,58.3549711031075,66.9684898772306,2.01140018306591,29.0262169602589,58.937067636153,39.3108177754819,70.8439444905964,15.7175481283098,68.385190992562,25.4074144904644,12.7566289682998,71.446698885189,54.0465133147982,55.0668419186639,21.2278971211457,14.2236891088242,14.3406968251115,0.0,50.4562601281002,31.385048477082,51.4118449167785,19.4000372425808,58.2955155703845,63.6916775557596,23.5684853382163,43.990490754173,64.9187906590536,75.0854090550294,47.3581336696091,58.5989434565594
2014,"Communications, computer, etc. (% of service imports, BoP)",43.0690729839285,39.4157495853191,0.0,63.446739415787,41.2036248404476,29.5149949417677,38.5459120353302,32.1954780831946,24.1488887989313,40.3973035772714,35.9524987652088,29.300754866905,68.7642918816038,13.1753132439941,35.180976139377,60.7458295162971,41.2660009203806,48.5581234033194,40.8769543045557,49.0238561698687,46.8499192823355,23.9213832452815,54.6283184529148,54.5900855203287,43.8585538116055,25.553288963851,18.97682829242,17.5514999181663,0.0,30.9223581821704,36.1928685306367,37.9587420726758,32.4025429782772,18.9398336430171,51.6277732067821,29.106143403758,39.2966323703185,24.4807016750509,79.7696939252748,51.0515052075902,55.3193704610057
